#Command: python /pacific/home/mdejesus//TRASH/mean_counts.py -f glycerol_H37Rv_rep1.wig,glycerol_H37Rv_rep2.wig -pt /pacific/home/mdejesus//TRASH/H37Rv.gff3 -n TTR -o normalized_counts3.txt
#Summarized to Mean Gene Counts with TRANSIT.
#Reads normalized using 'TTR'
#Normalization Factors: 2.286197257382532 1.4371695843583265
#Files:
#glycerol_H37Rv_rep1.wig
#glycerol_H37Rv_rep2.wig
#Orf	Name	Number of TA sites	glycerol_H37Rv_rep1.wig	glycerol_H37Rv_rep2.wig
Rv0678	-	5	201.19	400.97
Rv0679c	-	6	76.59	81.92
Rv0680c	-	3	95.26	111.62
Rv0681	-	12	83.07	138.81
Rv0682	rpsL	8	0.00	0.00
Rv0683	rpsG	5	0.00	0.00
Rv0684	fusA1	34	0.00	0.00
Rv0685	tuf	11	0.00	0.00
Rv0686	-	12	255.67	423.13
Rv0687	fabG	17	32.14	59.18
Rv0688	-	18	67.57	83.76
Rv0689c	-	4	77.73	113.18
Rv0690c	-	17	146.05	124.78
Rv0691c	-	9	63.25	92.94
Rv0692	-	7	65.32	91.77
Rv0693	pqqE	18	22.35	44.47
Rv0694	lldD1	17	100.73	60.95
Rv0695	-	12	91.07	111.38
Rv0696	-	26	181.49	163.51
Rv0697	-	27	19.22	16.55
Rv0698	-	12	8.19	19.52
Rv0699	-	2	28.58	135.81
Rv0700	rpsJ	6	0.00	0.00
Rv0701	rplC	16	0.00	0.00
Rv0702	rplD	11	0.00	0.00
Rv0703	rplW	4	0.00	0.00
Rv0704	rplB	17	0.00	0.00
Rv0705	rpsS	2	0.00	0.00
Rv0706	rplV	8	0.00	0.00
Rv0707	rpsC	14	0.00	0.00
Rv0708	rplP	10	0.00	0.00
Rv0709	rpmC	4	0.00	0.00
Rv0710	rpsQ	11	0.00	2.48
Rv0711	atsA	46	130.11	125.13
Rv0712	-	19	24.43	44.40
Rv0713	-	19	208.65	237.21
Rv0714	rplN	4	0.00	0.00
Rv0715	rplX	5	0.00	0.00
Rv0716	rplE	4	0.00	0.00
Rv0717	rpsN	2	0.00	0.00
Rv0718	rpsH	10	0.00	0.00
Rv0719	rplF	15	0.00	0.00
Rv0720	rplR	4	0.00	0.00
Rv0721	rpsE	12	0.00	4.07
Rv0722	rpmD	1	0.00	51.74
Rv0723	rplO	2	0.00	0.00
Rv0724	sppA	30	86.27	95.86
Rv0724A	-	5	139.00	235.70
Rv0725c	-	15	107.60	144.20
Rv0726c	-	16	112.17	120.72
Rv0727c	fucA	12	239.67	202.88
Rv0728c	serA2	9	123.96	129.66
Rv0729	xylB	19	364.83	365.49
Rv0730	-	3	552.50	530.32
Rv0731c	-	10	360.08	316.90
Rv0732	secY	28	0.33	12.11
Rv0733	adk	5	0.00	0.00
Rv0734	mapA	9	38.87	38.48
Rv0735	sigL	7	248.22	399.33
Rv0736	-	8	0.00	0.00
Rv0737	-	5	84.59	103.19
Rv0738	-	1	0.00	12.93
Rv0739	-	18	285.65	318.97
Rv0740	-	10	100.36	96.58
Rv0741	-	3	117.36	42.16
Rv0742	PE_PGRS8	6	52.96	117.13
Rv0743c	-	9	596.95	398.58
Rv0744c	-	9	0.00	70.58
Rv0745	-	7	98.31	201.61
Rv0746	PE_PGRS9	15	48.16	93.32
Rv0747	PE_PGRS10	16	266.63	152.97
Rv0748	-	2	304.06	167.43
Rv0749	-	4	220.05	232.46
Rv0749A	-	1	0.00	130.78
Rv0750	-	5	122.54	146.59
Rv0751c	mmsB	7	41.80	62.00
Rv0752c	fadE9	15	82.61	89.58
Rv0753c	mmsA	18	138.06	100.04
Rv0754	PE_PGRS11	31	377.22	299.58
Rv0755c	PPE12	55	67.09	44.50
Rv0755A	-	6	169.94	196.65
Rv0756c	-	7	333.46	306.53
Rv0757	phoP	12	0.00	13.53
Rv0758	phoR	18	0.00	40.96
Rv0759c	-	2	0.00	0.00
Rv0760c	-	6	57.15	35.93
Rv0761c	adhB	13	164.96	276.49
Rv0762c	-	13	93.21	58.92
Rv0763c	-	2	1.14	113.54
Rv0764c	cyp51	18	55.12	71.94
Rv0765c	-	11	67.13	70.94
Rv0766c	cyp123	25	25.51	40.47
Rv0767c	-	14	268.95	224.92
Rv0768	aldA	27	58.34	44.50
Rv0769	-	17	52.99	84.20
Rv0770	-	10	25.83	59.07
Rv0771	-	10	50.98	50.44
Rv0772	purD	24	0.00	0.00
Rv0773c	ggtA	20	40.12	67.26
Rv0774c	-	10	33.61	67.83
Rv0775	-	9	364.27	365.68
Rv0776c	-	15	290.04	211.55
Rv0777	purB	18	0.00	0.00
Rv0778	cyp126	21	114.64	104.50
Rv0779c	-	8	57.73	60.18
Rv0780	hemH	26	0.00	0.00
Rv0781	ptrBa	26	4.84	19.68
Rv0782	ptrBb	45	40.54	39.03
Rv0783c	emrB	27	44.54	75.80
Rv0784	-	10	12.35	5.75
Rv0785	-	35	58.40	105.61
Rv0786c	-	11	120.96	75.12
Rv0787	-	16	217.33	217.91
Rv0787A	-	2	0.00	0.00
Rv0788	purQ	12	0.00	0.00
Rv0789c	-	7	62.38	82.95
Rv0790c	-	21	232.43	197.17
Rv0791c	-	13	91.27	120.06
Rv0792c	-	19	158.23	83.43
Rv0793	-	8	182.04	136.17
Rv0794c	-	20	101.28	124.17
Rv0795	-	4	200.61	141.20
Rv0796	-	25	125.38	115.03
Rv0797	-	13	147.90	125.48
Rv0798c	cfp29	16	16.15	23.35
Rv0799c	-	10	18.75	51.88
Rv0800	pepC	16	131.89	140.84
Rv0801	-	1	768.16	320.49
Rv0802c	-	16	34.01	36.74
Rv0803	purL	35	0.00	0.00
Rv0804	-	7	240.70	259.51
Rv0805	-	18	44.58	49.26
Rv0806c	cpsY	42	262.31	235.39
Rv0807	-	2	107.45	63.24
Rv0808	purF	27	6.60	3.46
Rv0809	purM	14	0.00	0.00
Rv0810c	-	4	0.00	0.00
Rv0811c	-	17	0.00	0.00
Rv0812	-	17	0.00	3.80
Rv0813c	-	13	163.55	278.70
Rv0814c	sseC2	3	221.76	128.39
Rv0815c	cysA2	15	69.35	126.09
Rv0816c	thiX	3	105.93	72.34
Rv0817c	-	16	21.86	32.16
Rv0818	-	11	192.87	379.94
Rv0819	-	14	14.21	10.06
Rv0820	phoT	12	111.45	483.49
Rv0821c	phoY2	6	70.11	59.40
Rv0822c	-	29	201.58	182.17
Rv0823c	-	17	141.07	236.46
Rv0824c	desA1	19	0.00	0.00
Rv0825c	-	10	138.54	256.68
Rv0826	-	22	204.61	323.69
Rv0827c	-	7	25.80	24.64
Rv0828c	-	10	362.59	383.15
Rv0829	-	4	135.46	98.81
Rv0830	-	20	239.36	250.86
Rv0831c	-	19	96.74	106.20
Rv0832	PE_PGRS12	4	229.19	257.25
Rv0833	PE_PGRS13	11	4.16	13.59
Rv0834c	PE_PGRS14	27	121.34	170.76
Rv0835	lpqQ	14	217.19	231.38
Rv0836c	-	9	283.23	463.57
Rv0837c	-	23	143.93	204.83
Rv0838	lpqR	7	197.59	170.82
Rv0839	-	14	128.03	203.05
Rv0840c	pip	9	253.26	214.30
Rv0841	-	3	23.62	59.88
Rv0842	-	24	66.59	66.29
Rv0843	-	18	130.82	167.03
Rv0844c	narL	9	226.84	314.26
Rv0845	-	27	36.49	72.92
Rv0846c	-	31	81.34	75.66
Rv0847	lpqS	6	42.29	97.97
Rv0848	cysK2	28	90.63	72.63
Rv0849	-	23	170.87	164.71
Rv0850	-	9	107.20	157.45
Rv0851c	-	9	178.58	137.65
Rv0852	fadD16	15	65.69	109.70
Rv0853c	pdc	26	103.67	121.39
Rv0854	-	6	183.66	174.62
Rv0855	far	13	149.83	145.26
Rv0856	-	5	184.72	217.59
Rv0857	-	8	109.45	121.98
Rv0858c	-	21	125.31	97.45
Rv0859	fadA	8	17.43	76.71
Rv0860	fadB	27	21.59	7.35
Rv0861c	ercc3	26	48.01	54.39
Rv0862c	-	29	39.42	84.84
Rv0863	-	6	163.08	138.45
Rv0864	moaC	11	258.13	129.21
Rv0865	mog	8	393.23	346.90
Rv0866	moaE2	3	249.20	257.25
Rv0867c	rpfA	12	181.75	316.30
Rv0868c	moaD2	6	627.56	385.88
Rv0869c	moaA	14	297.86	277.07
Rv0870c	-	6	109.74	244.56
Rv0871	cspB	4	133.17	284.20
Rv0872c	PE_PGRS15	27	196.70	158.62
Rv0873	fadE10	34	179.80	231.64
Rv0874c	-	9	293.40	353.86
Rv0875c	-	12	2.29	5.15
Rv0876c	-	26	69.64	67.33
Rv0877	-	15	376.46	362.07
Rv0878c	PPE13	19	226.21	159.15
Rv0879c	-	3	0.00	36.41
Rv0880	-	1	0.00	0.00
Rv0881	-	15	141.44	140.27
Rv0882	-	1	544.11	20.12
Rv0883c	-	6	0.00	0.00
Rv0884c	serC	12	0.00	0.00
Rv0885	-	14	44.09	68.16
Rv0886	fprB	26	86.96	124.37
Rv0887c	-	4	186.90	148.39
Rv0888	-	31	174.86	151.51
Rv0889c	citA	13	284.19	279.81
Rv0890c	-	48	290.25	246.03
Rv0891c	-	25	137.72	108.19
Rv0892	-	43	15.63	23.46
Rv0893c	-	24	42.68	21.26
Rv0894	-	18	92.97	67.07
Rv0895	-	28	217.68	201.05
Rv0896	gltA	28	0.00	0.00
Rv0897c	-	20	96.02	101.03
Rv0898c	-	1	265.20	24.43
Rv0899	ompA	19	53.06	43.57
Rv0900	-	2	170.32	115.69
Rv0901	-	9	517.95	556.66
Rv0902c	prrB	14	9.96	5.44
Rv0903c	prrA	10	4.34	5.60
Rv0904c	accD3	24	84.30	72.34
Rv0905	echA6	9	107.71	76.17
Rv0906	-	15	80.63	176.20
Rv0907	-	40	23.38	41.97
Rv0908	ctpE	30	100.06	70.28
Rv0909	-	2	153.18	137.97
Rv0910	-	7	31.35	64.26
Rv0911	-	15	55.02	45.03
Rv0912	-	4	32.01	87.31
Rv0913c	-	41	30.95	18.75
Rv0914c	-	17	138.11	186.75
Rv0915c	PPE14	19	126.34	73.37
Rv0916c	PE7	5	13.72	4.31
Rv0917	betP	42	144.63	145.87
Rv0918	-	8	125.46	142.46
Rv0919	-	10	237.99	370.65
Rv0920c	-	22	80.64	59.51
Rv0921	-	7	132.93	142.28
Rv0922	-	18	193.82	212.70
Rv0923c	-	21	103.31	112.24
Rv0924c	mntH	20	126.54	131.79
Rv0925c	-	17	156.40	172.04
Rv0926c	-	21	116.81	111.76
Rv0927c	-	6	130.31	518.10
Rv0928	pstS3	22	70.35	211.26
Rv0929	pstC2	17	6.86	37.54
Rv0930	pstA1	17	25.96	85.22
Rv0931c	pknD	45	252.40	264.06
Rv0932c	pstS2	25	209.51	154.81
Rv0933	pstB	12	108.78	152.70
Rv0934	pstS1	21	277.50	216.40
Rv0935	pstC1	12	257.20	203.48
Rv0936	pstA2	20	252.51	219.67
Rv0937c	-	12	22.29	22.99
Rv0938	-	43	37.86	45.05
Rv0939	-	31	40.27	36.25
Rv0940c	-	15	66.45	73.10
Rv0941c	-	9	305.59	218.61
Rv0942	-	7	144.36	149.06
Rv0943c	-	17	118.08	136.70
Rv0944	-	8	126.88	165.45
Rv0945	-	7	82.96	24.23
Rv0946c	pgi	19	0.00	0.00
Rv0948c	-	6	9.53	5.27
Rv0949	uvrD1	45	5.13	10.54
Rv0950c	-	21	6.64	45.85
Rv0951	sucC	16	0.00	0.00
Rv0952	sucD	11	0.00	0.00
Rv0953c	-	13	161.26	112.54
Rv0954	-	28	42.38	69.70
Rv0955	-	18	3.05	0.00
Rv0956	purN	15	1.68	0.00
Rv0957	purH	24	0.00	0.00
Rv0958	-	15	108.82	137.68
Rv0959	-	19	155.34	147.27
Rv0960	-	6	97.16	96.53
Rv0961	-	7	190.73	152.13
Rv0962c	lprP	15	112.63	139.12
Rv0963c	-	10	117.97	102.33
Rv0964c	-	5	220.85	224.49
Rv0965c	-	7	37.56	107.99
Rv0966c	-	9	57.66	139.09
Rv0967	-	1	189.75	27.31
Rv0968	-	6	296.82	274.02
Rv0969	ctpV	21	195.96	188.41
Rv0970	-	12	100.40	101.92
Rv0971c	echA7	6	54.87	160.96
Rv0972c	fadE12	18	6.73	47.67
Rv0973c	accA2	25	0.00	4.94
Rv0974c	accD2	20	0.00	8.69
Rv0975c	fadE13	20	157.86	184.96
Rv0976c	-	20	165.98	242.88
Rv0977	PE_PGRS16	32	207.90	213.60
Rv0978c	PE_PGRS17	10	384.08	369.21
Rv0979c	-	2	0.00	0.00
Rv0979A	rpmF	2	0.00	0.00
Rv0980c	PE_PGRS18	17	380.05	304.85
Rv0981	mprA	11	171.46	170.11
Rv0982	mprB	22	5.72	9.80
Rv0983	pepD	19	88.08	73.45
Rv0984	moaB2	5	572.01	249.78
Rv0985c	mscL	9	287.30	205.36
Rv0986	-	25	38.87	43.75
Rv0987	-	94	22.47	22.89
Rv0988	-	41	15.95	6.13
Rv0989c	grcC2	18	152.16	255.66
Rv0990c	-	8	148.03	158.45
Rv0991c	-	3	518.20	1041.95
Rv0992c	-	6	434.00	484.81
Rv0993	galU	14	0.00	0.00
Rv0994	moeA1	14	123.45	118.98
Rv0995	rimJ	5	243.25	368.20
Rv0996	-	17	166.76	129.01
Rv0997	-	6	229.00	50.54
Rv0998	-	13	147.02	109.00
Rv0999	-	11	133.85	103.35
Rv1000c	-	8	371.22	430.97
Rv1001	arcA	20	242.91	224.56
Rv1002c	-	24	0.00	0.00
Rv1003	-	8	19.43	17.25
Rv1004c	-	12	283.49	186.11
Rv1005c	pabB	24	2.95	19.28
Rv1006	-	41	54.20	116.17
Rv1007c	metG	31	0.00	0.00
Rv1008	tatD	13	297.56	305.01
Rv1009	rpfB	12	11.43	34.37
Rv1010	ksgA	12	12.38	0.48
Rv1011	ispE	13	0.00	0.00
Rv1012	-	6	232.81	129.35
Rv1013	pks16	21	5.99	63.78
Rv1014c	pth	11	0.00	0.00
Rv1015c	rplY	10	4.34	1.15
Rv1016c	lpqT	6	223.67	251.03
Rv1017c	prsA	12	0.00	0.00
Rv1018c	glmU	24	0.00	0.00
Rv1019	-	8	222.62	291.39
Rv1020	mfd	40	133.34	122.63
Rv1021	-	13	35.35	44.33
Rv1022	lpqU	14	21.88	53.48
Rv1023	eno	16	0.00	0.00
Rv1024	-	8	0.00	0.00
Rv1025	-	6	0.00	0.00
Rv1026	-	8	14.29	18.32
Rv1027c	kdpE	11	15.38	17.51
Rv1028c	kdpD	28	91.77	108.66
Rv1028A	kdpF	3	22.10	51.26
Rv1029	kdpA	28	183.14	160.09
Rv1030	kdpB	15	172.23	185.11
Rv1031	kdpC	10	87.33	70.13
Rv1032c	trcS	25	135.53	103.48
Rv1033c	trcR	15	407.71	308.99
Rv1034c	-	2	0.00	22.28
Rv1035c	-	4	13.15	30.90
Rv1036c	-	5	226.33	262.43
Rv1037c	esxI	4	297.78	396.30
Rv1038c	esxJ	3	353.60	444.09
Rv1039c	PPE15	24	211.76	220.67
Rv1040c	PE8	8	102.31	155.57
Rv1041c	-	18	293.40	230.11
Rv1042c	-	6	176.80	116.17
Rv1043c	-	14	227.64	248.01
Rv1044	-	13	1.06	13.49
Rv1045	-	12	223.29	306.36
Rv1046c	-	4	254.34	282.76
Rv1047	-	16	90.73	75.54
Rv1048c	-	24	169.37	173.42
Rv1049	-	4	37.15	166.35
Rv1050	-	12	87.83	43.35
Rv1051c	-	8	0.00	34.67
Rv1052	-	6	197.38	243.84
Rv1053c	-	6	16.77	70.90
Rv1054	-	5	125.74	36.22
Rv1055	-	3	0.00	32.10
Rv1056	-	22	204.41	182.91
Rv1057	-	19	385.53	361.64
Rv1058	fadD14	30	29.72	65.10
Rv1059	-	9	0.25	0.80
Rv1060	-	5	91.91	57.77
Rv1061	-	14	129.82	122.36
Rv1062	-	6	107.83	77.37
Rv1063c	-	15	119.19	64.67
Rv1064c	lpqV	6	369.22	374.14
Rv1065	-	10	229.99	320.35
Rv1066	-	4	306.92	394.86
Rv1067c	PE_PGRS19	15	89.77	121.97
Rv1068c	PE_PGRS20	13	160.21	113.87
Rv1069c	-	20	326.01	369.71
Rv1070c	echA8	8	324.35	287.07
Rv1071c	echA9	12	254.15	343.84
Rv1072	-	17	21.65	8.28
Rv1073	-	19	107.09	236.00
Rv1074c	fadA3	11	427.73	324.02
Rv1075c	-	18	295.94	267.15
Rv1076	lipU	21	26.45	69.67
Rv1077	cbs	27	201.10	171.56
Rv1078	pra	18	0.00	0.56
Rv1079	metB	18	14.86	38.96
Rv1080c	greA	9	0.00	0.00
Rv1081c	-	7	0.00	0.00
Rv1082	mca	13	142.10	142.61
Rv1083	-	3	0.00	2.87
Rv1084	-	26	161.35	170.47
Rv1085c	-	11	7.69	1.18
Rv1086	-	15	1.22	1.34
Rv1087	PE_PGRS21	21	208.91	153.71
Rv1087A	-	7	117.25	311.46
Rv1088	PE9	5	5.49	34.78
Rv1089	PE10	5	213.99	209.83
Rv1089A	celA2a	2	306.35	283.12
Rv1090	celA2b	7	417.39	301.60
Rv1091	PE_PGRS22	26	120.47	76.28
Rv1092c	coaA	19	0.00	0.00
Rv1093	glyA	14	0.00	0.00
Rv1094	desA2	12	0.00	0.00
Rv1095	phoH2	13	104.99	106.79
Rv1096	-	19	47.53	48.11
Rv1097c	-	18	35.56	37.05
Rv1098c	fumC	13	0.00	0.00
Rv1099c	glpX	13	0.00	0.44
Rv1100	-	9	53.34	59.72
Rv1101c	-	18	308.00	228.03
Rv1102c	-	8	324.07	233.00
Rv1103c	-	8	314.92	178.75
Rv1104	-	11	155.67	130.00
Rv1105	-	11	133.22	82.83
Rv1106c	-	18	162.96	145.23
Rv1107c	xseB	2	16.00	274.50
Rv1108c	xseA	10	166.89	96.87
Rv1109c	-	9	268.50	175.33
Rv1110	ispH	14	0.00	0.00
Rv1111c	-	24	25.34	21.98
Rv1112	-	10	29.72	29.46
Rv1113	-	2	0.00	3.59
Rv1114	-	3	73.16	175.33
Rv1115	-	18	92.21	84.31
Rv1116	-	3	0.00	0.00
Rv1116A	-	6	469.05	496.06
Rv1117	-	3	329.21	242.40
Rv1118c	-	12	347.69	424.68
Rv1119c	-	3	49.53	26.83
Rv1120c	-	4	16.57	29.82
Rv1121	zwf1	24	33.63	33.23
Rv1122	gnd2	14	0.00	0.00
Rv1123c	bpoB	9	149.62	158.41
Rv1124	ephC	12	31.44	68.86
Rv1125	-	23	94.33	64.86
Rv1126c	-	10	0.00	2.87
Rv1127c	ppdK	19	21.90	12.33
Rv1128c	-	29	16.48	12.59
Rv1129c	-	27	51.99	51.26
Rv1130	-	27	61.56	46.89
Rv1131	gltA1	16	36.29	28.56
Rv1132	-	26	111.50	119.56
Rv1133c	metE	35	0.00	0.00
Rv1134	-	5	222.68	101.75
Rv1135c	PPE16	25	199.54	187.29
Rv1135A	-	6	14.10	67.07
Rv1136	-	3	409.23	145.15
Rv1137c	-	2	140.60	173.90
Rv1138c	-	17	152.50	151.58
Rv1139c	-	13	150.89	129.90
Rv1140	-	11	144.65	102.95
Rv1141c	echA11	14	146.97	228.51
Rv1142c	echA10	8	335.50	200.49
Rv1143	mcr	15	248.89	311.20
Rv1144	-	11	326.51	298.67
Rv1145	mmpL13a	11	132.39	89.50
Rv1146	mmpL13b	23	420.86	328.30
Rv1147	-	9	142.00	117.37
Rv1148c	-	23	139.26	132.03
Rv1149	-	6	175.66	138.93
Rv1151c	-	9	408.72	276.42
Rv1152	-	5	304.98	72.43
Rv1153c	omt	19	179.77	209.07
Rv1154c	-	16	114.02	161.41
Rv1155	-	11	206.17	269.93
Rv1156	-	12	294.92	236.41
Rv1157c	-	8	71.44	22.64
Rv1158c	-	11	57.36	33.84
Rv1159	pimE	28	14.53	25.05
Rv1159A	phhB	13	163.55	72.85
Rv1160	mutT2	4	261.77	112.46
Rv1161	narG	75	180.61	189.90
Rv1162	narH	35	250.44	254.58
Rv1163	narJ	15	179.09	317.81
Rv1164	narI	18	70.11	144.99
Rv1165	typA	15	378.90	273.92
Rv1166	lpqW	23	0.00	0.00
Rv1167c	-	9	22.61	56.37
Rv1168c	PPE17	16	207.76	256.62
Rv1169c	PE11	3	83.83	114.49
Rv1170	mshB	11	2.08	16.59
Rv1171	-	6	121.17	149.23
Rv1172c	PE12	15	152.87	136.63
Rv1173	fbiC	43	23.45	14.71
Rv1174c	TB8.4	8	401.51	633.61
Rv1175c	fadH	28	158.73	119.08
Rv1176c	-	15	106.08	112.20
Rv1177	fdxC	7	0.00	0.00
Rv1178	-	20	71.22	92.12
Rv1179c	-	41	180.11	163.31
Rv1180	pks3	25	277.73	229.37
Rv1181	pks4	70	275.88	237.69
Rv1182	papA3	40	186.44	119.75
Rv1183	mmpL10	52	30.95	21.25
Rv1184c	-	22	155.77	218.38
Rv1185c	fadD21	32	261.77	281.91
Rv1186c	-	18	28.83	41.68
Rv1187	rocA	24	26.48	21.86
Rv1188	-	22	49.98	18.03
Rv1189	sigI	8	68.30	60.18
Rv1190	-	9	192.29	143.24
Rv1191	-	9	278.92	287.27
Rv1192	-	14	143.05	144.85
Rv1193	fadD36	21	16.22	20.39
Rv1194c	-	18	117.74	159.37
Rv1195	PE13	5	153.18	235.98
Rv1196	PPE18	10	165.29	118.57
Rv1197	esxK	3	238.53	159.53
Rv1198	esxL	4	291.49	298.93
Rv1199c	-	16	89.88	106.98
Rv1200	-	29	192.36	230.10
Rv1201c	-	11	0.00	0.00
Rv1202	dapE	16	0.00	0.00
Rv1203c	-	8	75.16	129.88
Rv1204c	-	16	246.05	231.03
Rv1205	-	13	137.70	81.81
Rv1206	fadD6	37	274.53	221.95
Rv1207	folP2	10	9.83	16.10
Rv1208	-	14	0.00	0.00
Rv1209	-	5	91.45	187.41
Rv1210	tagA	11	247.74	330.29
Rv1211	-	4	13.72	19.04
Rv1212c	-	32	96.23	152.16
Rv1213	glgC	30	54.26	77.70
Rv1214c	PE14	5	145.40	114.40
Rv1215c	-	26	72.02	67.99
Rv1216c	-	19	159.91	95.16
Rv1217c	-	20	54.18	63.24
Rv1218c	-	6	68.20	46.23
Rv1219c	-	10	89.16	58.78
Rv1220c	-	10	112.71	243.60
Rv1221	sigE	17	21.92	20.46
Rv1222	-	2	154.32	81.20
Rv1223	htrA	22	18.19	34.17
Rv1224	tatB	5	0.00	0.00
Rv1225c	-	6	152.79	210.31
Rv1226c	-	15	386.52	260.51
Rv1227c	-	6	86.88	53.65
Rv1228	lpqX	9	475.28	464.37
Rv1229c	mrp	16	0.43	4.40
Rv1230c	-	20	106.42	197.75
Rv1231c	-	7	144.68	138.17
Rv1232c	-	11	237.56	331.86
Rv1233c	-	19	106.25	115.65
Rv1234	-	9	63.25	67.87
Rv1235	lpqY	30	67.60	59.93
Rv1236	sugA	19	86.39	64.29
Rv1237	sugB	12	26.10	34.61
Rv1238	sugC	25	60.81	50.47
Rv1239c	corA	25	109.83	107.27
Rv1240	mdh	5	0.00	0.00
Rv1241	-	1	73.16	53.18
Rv1242	-	9	167.91	210.31
Rv1243c	PE_PGRS23	19	115.51	163.61
Rv1244	lpqZ	8	130.88	135.27
Rv1245c	-	14	103.04	120.31
Rv1246c	-	7	111.37	245.76
Rv1247c	-	6	26.67	137.01
Rv1248c	kgd	46	0.00	0.00
Rv1249c	-	12	436.09	395.94
Rv1250	-	31	149.64	149.88
Rv1251c	-	61	147.25	111.65
Rv1252c	lprE	7	86.22	94.03
Rv1253	deaD	35	76.49	64.96
Rv1254	-	26	1.85	0.50
Rv1255c	-	10	11.43	42.68
Rv1256c	cyp130	16	113.31	106.62
Rv1257c	-	16	62.58	90.90
Rv1258c	-	22	274.55	284.30
Rv1259	-	14	59.44	66.11
Rv1260	-	28	94.47	79.20
Rv1261c	-	11	148.39	65.06
Rv1262c	-	4	199.47	217.73
Rv1263	amiB2	22	93.73	46.19
Rv1264	-	13	222.46	249.07
Rv1265	-	11	44.89	61.01
Rv1266c	pknH	29	209.94	178.90
Rv1267c	embR	20	130.08	154.06
Rv1268c	-	11	246.49	225.77
Rv1269c	-	8	114.31	139.41
Rv1270c	lprA	11	144.86	83.62
Rv1271c	-	7	70.55	34.90
Rv1272c	-	30	22.71	28.07
Rv1273c	-	32	17.50	36.29
Rv1274	lprB	4	0.00	10.06
Rv1275	lprC	6	0.00	0.00
Rv1276c	-	7	209.35	106.76
Rv1277	-	20	140.94	104.99
Rv1278	-	28	40.99	70.58
Rv1279	-	30	96.71	88.53
Rv1280c	oppA	26	130.93	93.14
Rv1281c	oppD	28	69.24	113.64
Rv1282c	oppC	16	67.16	86.68
Rv1283c	oppB	21	162.86	131.33
Rv1284	-	6	60.97	79.28
Rv1285	cysD	16	0.00	0.00
Rv1286	cysN	34	2.22	0.00
Rv1287	-	12	38.87	40.36
Rv1288	-	33	212.89	190.36
Rv1289	-	10	46.18	92.27
Rv1290c	-	34	260.76	247.91
Rv1290A	-	7	17.96	38.19
Rv1291c	-	3	394.75	404.80
Rv1292	argS	34	0.00	0.00
Rv1293	lysA	27	0.00	0.00
Rv1294	thrA	24	0.00	0.00
Rv1295	thrC	20	0.00	0.00
Rv1296	thrB	15	0.00	0.00
Rv1297	rho	22	8.31	8.30
Rv1298	rpmE	6	0.00	0.00
Rv1299	prfA	14	0.00	0.00
Rv1300	hemK	14	0.00	0.00
Rv1301	-	10	0.00	0.00
Rv1302	rfe	19	85.31	48.03
Rv1303	-	4	50.87	7.90
Rv1304	atpB	10	0.00	0.00
Rv1305	atpE	7	0.00	0.00
Rv1306	atpF	3	0.00	0.00
Rv1307	atpH	20	0.00	0.00
Rv1308	atpA	25	7.13	10.87
Rv1309	atpG	18	0.00	0.00
Rv1310	atpD	20	0.00	0.00
Rv1311	atpC	1	0.00	0.00
Rv1312	-	10	0.00	0.86
Rv1313c	-	16	315.21	240.82
Rv1314c	-	15	198.14	225.35
Rv1315	murA	16	0.00	0.00
Rv1316c	ogt	9	228.37	337.10
Rv1317c	alkA	13	148.08	201.09
Rv1318c	-	19	199.26	224.65
Rv1319c	-	28	229.76	228.82
Rv1320c	-	29	188.81	206.61
Rv1321	-	12	146.70	243.12
Rv1322	-	5	41.61	101.46
Rv1322A	-	6	24.77	112.10
Rv1323	fadA4	14	494.96	383.83
Rv1324	-	6	4.19	1.68
Rv1325c	PE_PGRS24	10	67.67	28.60
Rv1326c	glgB	42	0.00	0.00
Rv1327c	glgE	39	0.00	0.00
Rv1328	glgP	45	57.10	38.39
Rv1329c	dinG	24	49.15	46.83
Rv1330c	-	23	217.69	162.96
Rv1331	clpS	5	131.68	233.40
Rv1332	-	7	35.60	14.99
Rv1333	-	13	33.06	96.73
Rv1334	-	12	329.40	175.21
Rv1335	-	5	214.45	60.94
Rv1336	cysM	19	97.58	155.82
Rv1337	-	13	161.26	122.71
Rv1338	murI	16	0.00	0.00
Rv1339	-	19	0.00	0.00
Rv1340	rph	13	7.21	24.87
Rv1341	-	5	80.02	159.81
Rv1342c	-	5	0.00	0.00
Rv1343c	lprD	12	5.14	0.60
Rv1344	-	10	71.56	71.43
Rv1345	fadD33	23	180.41	176.77
Rv1346	fadE14	14	46.87	58.31
Rv1347c	-	14	0.00	0.21
Rv1348	-	38	2.35	0.38
Rv1349	-	19	0.00	0.00
Rv1350	fabG	15	33.38	16.29
Rv1351	-	10	96.02	90.97
Rv1352	-	5	93.28	87.09
Rv1353c	-	13	23.39	14.59
Rv1354c	-	44	53.83	82.34
Rv1355c	moeY	40	24.63	36.90
Rv1356c	-	28	36.99	60.16
Rv1357c	-	13	184.83	101.15
Rv1358	-	73	108.92	80.93
Rv1359	-	17	179.67	99.16
Rv1360	-	14	444.01	356.11
Rv1361c	PPE19	14	203.31	195.66
Rv1362c	-	14	82.47	151.21
Rv1363c	-	8	274.06	192.94
Rv1364c	-	32	12.79	21.15
Rv1365c	rsfA	5	63.56	177.06
Rv1366	-	19	78.33	73.22
Rv1367c	-	16	279.63	208.39
